Time (s),Temp (C),Degree of Cure,Cure Rate
343.02,90.167,0.141666527,0.000906218
344.0202,90.1675,0.142571321,0.000913751
345.0198,90.1677,0.143483413,0.000921675
346.02,90.1683,0.144403131,0.000928822
347.0202,90.169,0.145329714,0.000935755
348.0198,90.169,0.146261724,0.000941801
349.02,90.1696,0.147202166,0.000949751
350.0202,90.17,0.148150537,0.00095776
351.0198,90.1707,0.149105175,0.000964666
352.02,90.1714,0.150067657,0.00097201
353.0202,90.1718,0.151036894,0.000978832
354.0198,90.1723,0.152013089,0.000986449
355.02,90.1729,0.152997198,0.000993851
356.0202,90.1734,0.153987901,0.00100051
357.0198,90.174,0.154985039,0.001007612
358.02,90.1746,0.155990292,0.001015204
359.0202,90.1755,0.157002926,0.001022658
360.0198,90.1757,0.158022026,0.001029806
361.02,90.1767,0.159049029,0.001037169
362.0202,90.177,0.160082645,0.001043848
363.0198,90.1779,0.161122327,0.001050604
364.02,90.1782,0.16217026,0.001058307
365.0202,90.1788,0.163225749,0.001065937
366.0198,90.1792,0.164288297,0.001073711
367.02,90.1798,0.165357658,0.001079946
368.0202,90.1804,0.166434457,0.001087459
369.0198,90.1813,0.167518182,0.001095109
370.02,90.1817,0.168608982,0.001101598
371.0202,90.1821,0.169707681,0.001109574
372.0198,90.1827,0.170812819,0.001116748
373.02,90.1836,0.171925228,0.00112342
374.0202,90.1836,0.173044075,0.001129923
375.0198,90.1845,0.174168957,0.001136699
376.02,90.1852,0.175301475,0.001143729
377.0202,90.1853,0.176441116,0.001150923
378.0198,90.1863,0.177587729,0.001158658
379.02,90.1865,0.178741093,0.001164782
380.0202,90.1877,0.17990138,0.001171773
381.0198,90.1883,0.181067677,0.001178549
382.02,90.1886,0.182241907,0.001185854
383.0202,90.189,0.18342348,0.001193269
384.0198,90.1895,0.18461012,0.001199106
385.02,90.1893,0.185804821,0.001206528
386.0202,90.1901,0.187006006,0.001213076
387.0198,90.1908,0.188212912,0.001219584
388.02,90.191,0.189427691,0.001226804
389.0202,90.1916,0.190648695,0.001233091
390.0198,90.1925,0.191875189,0.001239378
391.02,90.1931,0.19310867,0.001245691
392.0202,90.1937,0.194348654,0.001252259
393.0198,90.1939,0.195593483,0.001257907
394.02,90.195,0.196844833,0.001263737
395.0202,90.1948,0.198102505,0.001270122
396.0198,90.1955,0.199365593,0.001276357
397.02,90.1958,0.200635613,0.001282592
398.0202,90.1963,0.201912665,0.001289694
399.0198,90.1969,0.20319476,0.001295564
400.02,90.197,0.204483049,0.001301042
401.0202,90.1977,0.205777557,0.001307322
402.0198,90.198,0.207077336,0.001313433
403.02,90.1986,0.208383758,0.001319355
404.0202,90.199,0.209696097,0.001325329
405.0198,90.2001,0.211012733,0.001330468
406.02,90.2004,0.212334552,0.001334903
407.0202,90.2008,0.213662053,0.001340642
408.0198,90.2009,0.214995535,0.00134749
409.02,90.2015,0.216334518,0.001352238
410.0202,90.202,0.217678926,0.001357716
411.0198,90.2021,0.219027756,0.001362999
412.02,90.2028,0.220382593,0.001368249
413.0202,90.2025,0.221742926,0.001373799
414.0198,90.2031,0.22310791,0.001379323
